,Place,Place Latitude,Place Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
159,Cochin,9.931308,76.2674136,Rabiya Sea Foods,9.914157217611251,76.26843318768516,Factory
160,Ennore,13.2174681,80.3216013,Kothari Fertilizer (highly polluting industry ),13.221468190645616,80.32163433356688,Factory
161,Guntur,16.2915189,80.4541588,Govind & Sons,16.294584,80.446657,Factory
162,Kanpur,26.4609135,80.3217588,Trending this month,26.457640427002303,80.32036900520325,Factory
163,Kanpur,26.4609135,80.3217588,Queen International,26.467567,80.33074,Factory
164,Kanpur,26.4609135,80.3217588,Allied Chemicals,26.456998,80.30913,Factory
165,Kanpur,26.4609135,80.3217588,Crossroad Auto,26.46446990966797,80.30400085449219,Factory
166,Kanpur,26.4609135,80.3217588,Tarlok Singh & Co.,26.47142360625793,80.30606309885714,Factory
167,Nandambakkam,13.0166484,80.1911885,Hi-tech power drive,13.016539,80.20187,Factory
168,Nandambakkam,13.0166484,80.1911885,Teleflo,13.024751252798046,80.17684626566393,Factory
169,Nandambakkam,13.0166484,80.1911885,Guindy Industrial Estate,13.011972444391741,80.2080596100438,Factory
170,Ooty,11.4126769,76.7030504,The Tea Factory,11.413903299754384,76.71295068194773,Factory
171,Ooty,11.4126769,76.7030504,DoddaBetta Tea Factory,11.411798949178866,76.72093074578284,Factory
172,Ooty,11.4126769,76.7030504,The Tea Factory,11.411913505492704,76.7207910495171,Tea Room
173,Perambur,13.1121242,80.245022,Simpsons & co ltd.  Sembian Plant,13.124770805609907,80.2386852715568,Factory
174,Perambur,13.1121242,80.245022,Binny Mills,13.104231210520439,80.25736678694852,Factory
175,Perambur,13.1121242,80.245022,SA engineering,13.119078636169434,80.23140716552734,Factory
176,Perambur,13.1121242,80.245022,tafe,13.12420880431358,80.23410546769371,Factory
177,Renukoot,24.2159484,83.0345962,Hindalco,24.214906129688057,83.02752820707099,Factory
178,Dhanbad,23.7952809,86.4309638,Hpcl - Dhanbad Depot,23.790022,86.42783,Factory
179,Udhana,21.1650911,72.8397743,kc fashion,21.16200156895555,72.84325990904472,Factory
180,Udhana,21.1650911,72.8397743,HAROT,21.16777,72.845749,Factory
181,Udhana,21.1650911,72.8397743,Dhanlaxmi Alloys,21.16870890092879,72.84651127708977,Factory
182,Udhana,21.1650911,72.8397743,Moldex Composites,21.1702401,72.83106070000001,Factory
183,Udhana,21.1650911,72.8397743,jj synthetics,21.17149543762207,72.84758758544922,Factory
184,Worli,19.0116962,72.8180702,Ideal Industrial Estate,19.00108376665257,72.8292795707588,Factory
185,Kolhapur,16.7028412,74.2405329,Shivaji Udyamnagar,16.701943977473032,74.23823697436737,Factory
186,Kolhapur,16.7028412,74.2405329,Onkar ceramics,16.704590870649476,74.24271883167857,Factory
187,Kolhapur,16.7028412,74.2405329,Shahumill,16.70038604736328,74.23260498046875,Factory
188,Kolhapur,16.7028412,74.2405329,Sawant oil engine works,16.6965991955104,74.23372635008657,Factory
189,Kolhapur,16.7028412,74.2405329,Popular Steel Works & Agricultural Implements PVT LTD,16.692869443705746,74.24448403439517,Factory
